time x1 y1 x2 y2
1.429999999999999938e+00 2.683298339204789884e-01 2.966464229149041176e-01 -3.074469506738636282e-02 3.102559144514438483e-02
1.439999999999999947e+00 2.798201884339654999e-01 2.858332768324571282e-01 -3.046990113132813649e-02 3.340494974224705871e-02
1.449999999999999956e+00 2.905600137513602021e-01 2.749088547297255380e-01 -3.025324500138903971e-02 3.599704462306377306e-02
1.459999999999999964e+00 3.005534806142106108e-01 2.639462166629469309e-01 -3.008693533319484192e-02 3.883087879782778917e-02
1.469999999999999973e+00 3.098112643561589663e-01 2.530157712041646856e-01 -2.995895777978746510e-02 4.193238448296957022e-02
1.479999999999999982e+00 3.183497800548962253e-01 2.421846765156689951e-01 -2.985395609143837170e-02 4.532391827844739485e-02
1.489999999999999991e+00 3.261903705122601860e-01 2.315163972272254456e-01 -2.975415852137697215e-02 4.902395286028110588e-02
1.500000000000000000e+00 3.333584767243671365e-01 2.210704095893649690e-01 -2.964031092440921888e-02 5.304695835258502190e-02
1.510000000000000009e+00 3.398828161456364239e-01 2.109020419268422541e-01 -2.949258228464657350e-02 5.740345875921262775e-02
1.520000000000000018e+00 3.457945891132576666e-01 2.010624334379581546e-01 -2.929141376080590664e-02 6.210024272423203540e-02
1.530000000000000027e+00 3.511267287004111171e-01 1.915985918323721005e-01 -2.901828833051312007e-02 6.714070326536188127e-02
1.540000000000000036e+00 3.559132043540708668e-01 1.825535290439969094e-01 -2.865640440191746796e-02 7.252527802969571669e-02
1.550000000000000044e+00 3.601883852123994867e-01 1.739664541171203616e-01 -2.819124301708064717e-02 7.825196004056567123e-02
1.560000000000000053e+00 3.639864651733619172e-01 1.658730031397545324e-01 -2.761102420032190974e-02 8.431684876604962631e-02
1.570000000000000062e+00 3.673409487128374007e-01 1.583054875825616603e-01 -2.690705334440590679e-02 9.071471251767646016e-02
1.580000000000000071e+00 3.702841941768259537e-01 1.512931444012539650e-01 -2.607396306109793782e-02 9.743953550679611275e-02
1.590000000000000080e+00 3.728470097960100427e-01 1.448623736039625354e-01 -2.510985948858168726e-02 1.044850261278540415e-01
1.600000000000000089e+00 3.750582969480843465e-01 1.390369515287306623e-01 -2.401638455060839394e-02 1.118450669541560111e-01
1.610000000000000098e+00 3.769447351474237151e-01 1.338382107047109970e-01 -2.279870707791026296e-02 1.195140912608817635e-01
1.620000000000000107e+00 3.785305037710206544e-01 1.292851797958967375e-01 -2.146545608266248184e-02 1.274873753764133866e-01
1.630000000000000115e+00 3.798370365129367654e-01 1.253946796840677835e-01 -2.002860894222424637e-02 1.357612405760643681e-01
1.640000000000000124e+00 3.808828058609845524e-01 1.221813741920737550e-01 -1.850334597701214223e-02 1.443331623825708232e-01
1.650000000000000133e+00 3.816831363632855467e-01 1.196577762449460292e-01 -1.690788111694452311e-02 1.532017888861756105e-01
1.660000000000000142e+00 3.822500469481674434e-01 1.178342123838565514e-01 -1.526327627796703057e-02 1.623668729569096580e-01
1.669999999999999929e+00 3.825921239293107456e-01 1.167187504527826825e-01 -1.359324494779257098e-02 1.718291259524431513e-01
1.679999999999999938e+00 3.827144274289879800e-01 1.163170969277598915e-01 -1.192394851693795443e-02 1.815900027215274493e-01
1.689999999999999947e+00 3.826184346641751111e-01 1.166324717012220957e-01 -1.028378725442430364e-02 1.916514293814489123e-01
1.699999999999999956e+00 3.823020237712486669e-01 1.176654691080082638e-01 -8.703186629751225034e-03 2.020154865310640202e-01
1.709999999999999964e+00 3.817595015432895811e-01 1.194139145217972403e-01 -7.214378975493096480e-03 2.126840612685446663e-01
1.719999999999999973e+00 3.809816776176173092e-01 1.218727259056181789e-01 -5.851180258213573016e-03 2.236584816262356945e-01
1.729999999999999982e+00 3.799559863327656717e-01 1.250337892327318678e-01 -4.648761914075150159e-03 2.349391468181754039e-01
1.739999999999999991e+00 3.786666557803389233e-01 1.288858557023785101e-01 -3.643418200753423264e-03 2.465251660224059560e-01
1.750000000000000000e+00 3.770949216605234411e-01 1.334144671984403563e-01 -2.872330183154969685e-03 2.584140173030814447e-01
1.760000000000000009e+00 3.752192815932993697e-01 1.386019145632856331e-01 -2.373328162941612529e-03 2.706012367489359915e-01
1.770000000000000018e+00 3.730157837325855930e-01 1.444272311109124907e-01 -2.184654947874231645e-03 2.830801460243412837e-01
1.780000000000000027e+00 3.704583420550625061e-01 1.508662215401920248e-01 -2.344732730701515333e-03 2.958416243859164352e-01
1.790000000000000036e+00 3.675190696897587816e-01 1.578915242005543285e-01 -2.891936441619058495e-03 3.088739289262056875e-01
1.800000000000000044e+00 3.641686212053834582e-01 1.654727026713770366e-01 -3.864376229545607444e-03 3.221625644974106528e-01
1.810000000000000053e+00 3.603765349042714061e-01 1.735763609780734684e-01 -5.299691233240477750e-03 3.356902025765851061e-01
1.820000000000000062e+00 3.561115668479680196e-01 1.821662755755993901e-01 -7.234856074419038219e-03 3.494366463813874946e-01
1.830000000000000071e+00 3.513420094719870712e-01 1.912035365263575759e-01 -9.706000613345922012e-03 3.633788379299599525e-01
1.840000000000000080e+00 3.460359891133921728e-01 2.006466900756559424e-01 -1.274824253213269198e-02 3.774909015232755793e-01
1.850000000000000089e+00 3.401617384363953001e-01 2.104518750306810793e-01 -1.639553132603754904e-02 3.917442173387877258e-01
1.860000000000000098e+00 3.336878414634054657e-01 2.205729458920408226e-01 -2.068050134695853526e-02 4.061075184488458500e-01
1.870000000000000107e+00 3.265834505862362236e-01 2.309615764649769754e-01 -2.563433069274417830e-02 4.205470045730264061e-01
1.880000000000000115e+00 3.188184764586289854e-01 2.415673385799468054e-01 -3.128660198299787476e-02 4.350264661738194594e-01
1.890000000000000124e+00 3.103637530062645644e-01 2.523377514758075590e-01 -3.766516039427192375e-02 4.495074130296122794e-01
1.900000000000000133e+00 3.011911809196150536e-01 2.632182982549802763e-01 -4.479596370975502673e-02 4.639492020820077944e-01
1.910000000000000142e+00 2.912738539379943759e-01 2.741524065407924260e-01 -5.270291851507891145e-02 4.783091600728924808e-01
1.919999999999999929e+00 2.805861730402165466e-01 2.850813910072800272e-01 -6.140769596806927577e-02 4.925426971844644175e-01
1.929999999999999938e+00 2.691039544060811473e-01 2.959443557883978393e-01 -7.092951969239119636e-02 5.066034085075333815e-01
1.939999999999999947e+00 2.568045378075445306e-01 3.066780549068574002e-01 -8.128491717780211845e-02 5.204431606367478924e-01
1.949999999999999956e+00 2.436669030615979392e-01 3.172167088164963844e-01 -9.248742447115954057e-02 5.340121609851238293e-01
1.959999999999999964e+00 2.296718034967472899e-01 3.274917749784740928e-01 -1.045472317359780468e-01 5.472590074953038730e-01
1.969999999999999973e+00 2.148019272681363501e-01 3.374316701821189479e-01 -1.174707542230010726e-01 5.601307162840032383e-01
1.979999999999999982e+00 1.990421000882295344e-01 3.469614422273276655e-01 -1.312601090526238634e-01 5.725727243846522319e-01
1.989999999999999991e+00 1.823795469049568352e-01 3.560023888553877081e-01 -1.459124726192367882e-01 5.845288641634501792e-01
2.000000000000000000e+00 1.648042357823797932e-01 3.644716228572340011e-01 -1.614192859788360357e-01 5.959413052126335542e-01
2.010000000000000231e+00 1.463093354404413071e-01 3.722815847755250318e-01 -1.777652658241739847e-01 6.067504586483285500e-01
2.020000000000000018e+00 1.268918295698797105e-01 3.793395096591029025e-01 -1.949271661763374297e-01 6.168948379026434337e-01
2.030000000000000249e+00 1.065533474549444914e-01 3.855468637482943883e-01 -2.128722205663514111e-01 6.263108695595295261e-01
2.040000000000000036e+00 8.530129323987682699e-02 3.907987837386454610e-01 -2.315561768018735700e-01 6.349326479990984318e-01
2.049999999999999822e+00 6.315038717475464358e-02 3.949835801646425226e-01 -2.509208186834131493e-01 6.426916293895242882e-01
2.060000000000000053e+00 4.012477277863683855e-02 3.979824149500361674e-01 -2.708908572489270861e-01 6.495162653132775521e-01
2.069999999999999840e+00 1.626089345250209678e-02 3.996693425121902177e-01 -2.913700818707707918e-01 6.553315865406190710e-01
2.080000000000000071e+00 -8.388605845457683396e-03 3.999120294414379995e-01 -3.122367168976863394e-01 6.600587676681406446e-01
2.089999999999999858e+00 -3.374966251697389397e-02 3.985736572830552715e-01 -3.333380861000923012e-01 6.636147417491848888e-01
2.100000000000000089e+00 -5.972001263456109404e-02 3.955167759917749271e-01 -3.544850370778340198e-01 6.659120059144878478e-01
